country,year,co2
Argentina,1887,1.085
Argentina,1888,0.89
Argentina,1889,1.755
Argentina,1890,1.37
Argentina,1891,0.938
Argentina,1892,1.385
Argentina,1893,1.554
Argentina,1894,1.993
Argentina,1895,2.264
Argentina,1896,2.305
Argentina,1897,2.081
Argentina,1898,2.349
Argentina,1899,2.92
Argentina,1900,2.07
Argentina,1901,2.492
Argentina,1902,2.814
Argentina,1903,2.862
Argentina,1904,3.796
Argentina,1905,3.983
Argentina,1906,6.254
Argentina,1907,6.254
Argentina,1908,7.617
Argentina,1909,5.936
Argentina,1910,8.907
Argentina,1911,9.944
Argentina,1912,9.479
Argentina,1913,10.146
Argentina,1914,8.673
Argentina,1915,6.94
Argentina,1916,4.987
Argentina,1917,2.231
Argentina,1918,2.521
Argentina,1919,3.726
Argentina,1920,5.892
Argentina,1921,5.54
Argentina,1922,7.299
Argentina,1923,8.446
Argentina,1924,10.959
Argentina,1925,11.237
Argentina,1926,11.259
Argentina,1927,13.374
Argentina,1928,12.739
Argentina,1929,13.13
Argentina,1930,12.767
Argentina,1931,12.844
Argentina,1932,13.1
Argentina,1933,13.232
Argentina,1934,14.24
Argentina,1935,13.997
Argentina,1936,15.096
Argentina,1937,16.711
Argentina,1938,16.347
Argentina,1939,17.377
Argentina,1940,15.864
Argentina,1941,13.94
Argentina,1942,13.479
Argentina,1943,14.077
Argentina,1944,13.952
Argentina,1945,13.666
Argentina,1946,13.702
Argentina,1947,14.515
Argentina,1948,17.392
Argentina,1949,15.365
Argentina,1950,29.921
Argentina,1951,34.963
Argentina,1952,36.095
Argentina,1953,35.135
Argentina,1954,36.75
Argentina,1955,39.56
Argentina,1956,44.297
Argentina,1957,47.608
Argentina,1958,44.193
Argentina,1959,48.949
Argentina,1960,48.764
Argentina,1961,51.127
Argentina,1962,53.64
Argentina,1963,50.033
Argentina,1964,55.67
Argentina,1965,58.805
Argentina,1966,63.073
Argentina,1967,65.476
Argentina,1968,69.009
Argentina,1969,77.249
Argentina,1970,82.648
Argentina,1971,88.847
Argentina,1972,90.067
Argentina,1973,93.976
Argentina,1974,95.481
Argentina,1975,94.846
Argentina,1976,99.7
Argentina,1977,100.706
Argentina,1978,102.556
Argentina,1979,110.617
Argentina,1980,108.657
Argentina,1981,101.969
Argentina,1982,103.352
Argentina,1983,105.143
Argentina,1984,106.452
Argentina,1985,100.532
Argentina,1986,104.151
Argentina,1987,114.878
Argentina,1988,121.406
Argentina,1989,117.021
Argentina,1990,112.079
Argentina,1991,117.506
Argentina,1992,121.231
Argentina,1993,117.777
Argentina,1994,122.229
Argentina,1995,127.765
Argentina,1996,134.762
Argentina,1997,137.641
Argentina,1998,139.452
Argentina,1999,147.285
Argentina,2000,142.358
Argentina,2001,134.004
Argentina,2002,124.392
Argentina,2003,134.631
Argentina,2004,157.043
Argentina,2005,161.434
Argentina,2006,174.609
Argentina,2007,174.246
Argentina,2008,188.106
Argentina,2009,178.949
Argentina,2010,186.733
Argentina,2011,190.274
Argentina,2012,191.715
Argentina,2013,190.152
Argentina,2014,188.697
Argentina,2015,192.366
Argentina,2016,190.93
Argentina,2017,187.416
Argentina,2018,185.03
Argentina,2019,178.94
Australia,1860,0.278
Australia,1861,0.509
Australia,1862,0.355
Australia,1863,0.399
Australia,1864,0.267
Australia,1865,0.421
Australia,1866,0.696
Australia,1867,0.894
Australia,1868,0.733
Australia,1869,0.641
Australia,1870,0.601
Australia,1871,0.692
Australia,1872,0.707
Australia,1873,0.868
Australia,1874,0.89
Australia,1875,0.828
Australia,1876,0.931
Australia,1877,1.066
Australia,1878,0.967
Australia,1879,1.455
Australia,1880,2.206
Australia,1881,1.766
Australia,1882,2.012
Australia,1883,2.426
Australia,1884,2.572
Australia,1885,2.906
Australia,1886,2.887
Australia,1887,3.034
Australia,1888,3.528
Australia,1889,3.426
Australia,1890,3.547
Australia,1891,4.008
Australia,1892,4.151
Australia,1893,3.964
Australia,1894,4.36
Australia,1895,4.591
Australia,1896,4.503
Australia,1897,4.976
Australia,1898,5.613
Australia,1899,5.785
Australia,1900,10.168
Australia,1901,11.439
Australia,1902,11.395
Australia,1903,11.219
Australia,1904,11.545
Australia,1905,12.047
Australia,1906,14.359
Australia,1907,15.477
Australia,1908,16.755
Australia,1909,14.553
Australia,1910,17.437
Australia,1911,19.24
Australia,1912,20.786
Australia,1913,22.391
Australia,1914,24.479
Australia,1915,21.793
Australia,1916,19.273
