Year,Countries,Economic Freedom Summary Index
2018,Argentina,5.78
2017,Argentina,5.98
2016,Argentina,5.55
2015,Argentina,5.17
2014,Argentina,4.69
2013,Argentina,5.14
2012,Argentina,5.33
2011,Argentina,5.85
2010,Argentina,5.82
2009,Argentina,6.02
2008,Argentina,6.22
2007,Argentina,6.31
2006,Argentina,6.13
2005,Argentina,6.08
2004,Argentina,6.30
2003,Argentina,6.24
2002,Argentina,6.30
2001,Argentina,6.80
2000,Argentina,7.30
1995,Argentina,7.05
1990,Argentina,4.50
1985,Argentina,3.68
1980,Argentina,4.57
1975,Argentina,3.75
1970,Argentina,6.17
2018,Australia,8.23
2017,Australia,8.18
2016,Australia,8.16
2015,Australia,8.10
2014,Australia,8.11
2013,Australia,8.02
2012,Australia,8.09
2011,Australia,8.10
2010,Australia,8.10
2009,Australia,8.14
2008,Australia,8.15
2007,Australia,8.21
2006,Australia,8.17
2005,Australia,8.10
2004,Australia,8.04
2003,Australia,8.09
2002,Australia,8.07
2001,Australia,8.04
2000,Australia,8.12
1995,Australia,8.09
1990,Australia,8.12
1985,Australia,7.71
1980,Australia,7.28
1975,Australia,7.01
1970,Australia,7.40
2018,Brazil,6.56
2017,Brazil,6.54
2016,Brazil,6.45
2015,Brazil,6.20
2014,Brazil,6.40
2013,Brazil,6.50
2012,Brazil,6.63
2011,Brazil,6.68
2010,Brazil,6.66
2009,Brazil,6.49
2008,Brazil,6.50
2007,Brazil,6.36
2006,Brazil,6.39
2005,Brazil,6.38
2004,Brazil,6.27
2003,Brazil,6.11
2002,Brazil,6.31
2001,Brazil,5.95
2000,Brazil,5.92
1995,Brazil,4.61
1990,Brazil,4.32
1985,Brazil,3.17
1980,Brazil,4.11
1975,Brazil,4.16
1970,Brazil,5.08
2018,Brunei Darussalam,6.60
2017,Brunei Darussalam,6.69
2016,Brunei Darussalam,6.98
2015,Brunei Darussalam,6.83
2014,Brunei Darussalam,6.94
2013,Brunei Darussalam,6.81
2012,Brunei Darussalam,6.98
2011,Brunei Darussalam,6.83
2010,Brunei Darussalam,6.99
2009,Brunei Darussalam,
2008,Brunei Darussalam,
2007,Brunei Darussalam,
2006,Brunei Darussalam,
2005,Brunei Darussalam,
2004,Brunei Darussalam,
2003,Brunei Darussalam,
2002,Brunei Darussalam,
2001,Brunei Darussalam,
2000,Brunei Darussalam,
1995,Brunei Darussalam,
1990,Brunei Darussalam,
1985,Brunei Darussalam,
1980,Brunei Darussalam,
1975,Brunei Darussalam,
1970,Brunei Darussalam,
2018,Canada,8.17
2017,Canada,8.26
2016,Canada,8.24
2015,Canada,8.19
2014,Canada,8.33
2013,Canada,8.23
2012,Canada,8.18
2011,Canada,8.08
2010,Canada,8.18
2009,Canada,8.18
2008,Canada,8.21
2007,Canada,8.23
2006,Canada,8.27
2005,Canada,8.26
2004,Canada,8.35
2003,Canada,8.31
2002,Canada,8.28
2001,Canada,8.20
2000,Canada,8.27
1995,Canada,7.99
1990,Canada,8.24
1985,Canada,8.06
1980,Canada,8.01
1975,Canada,7.75
1970,Canada,7.85
2018,China,6.21
2017,China,6.26
2016,China,6.25
2015,China,6.22
2014,China,6.20
2013,China,6.19
2012,China,6.15
2011,China,6.07
2010,China,6.04
2009,China,6.07
2008,China,6.04
2007,China,6.04
2006,China,5.93
2005,China,5.86
2004,China,5.70
2003,China,5.82
2002,China,5.76
2001,China,5.59
2000,China,5.52
1995,China,4.92
1990,China,3.69
1985,China,4.38
1980,China,3.91
1975,China,
1970,China,
2018,France,7.40
2017,France,7.44
2016,France,7.46
2015,France,7.54
2014,France,7.57
2013,France,7.45
2012,France,7.47
2011,France,7.50
2010,France,7.59
2009,France,7.55
2008,France,7.63
2007,France,7.67
2006,France,7.51
2005,France,7.50
2004,France,7.58
2003,France,7.55
2002,France,7.56
2001,France,7.48
2000,France,7.64
1995,France,7.35
1990,France,7.18
1985,France,6.26
1980,France,6.31
1975,France,6.43
1970,France,6.36
2018,Germany,7.85
2017,Germany,7.87
2016,Germany,7.96
2015,Germany,7.97
2014,Germany,7.93
2013,Germany,7.91
2012,Germany,7.84
2011,Germany,7.87
2010,Germany,7.78
2009,Germany,7.76
2008,Germany,7.72
2007,Germany,7.76
2006,Germany,7.80
2005,Germany,7.83
2004,Germany,7.90
2003,Germany,7.94
2002,Germany,7.88
2001,Germany,7.83
2000,Germany,7.96
1995,Germany,7.87
1990,Germany,7.84
1985,Germany,7.68
1980,Germany,7.52
1975,Germany,7.21
1970,Germany,7.48
2018,India,6.56
2017,India,6.68
2016,India,6.46
2015,India,6.47
2014,India,6.17
2013,India,6.34
2012,India,6.51
2011,India,6.52
2010,India,6.37
2009,India,6.36
2008,India,6.40
2007,India,6.43
2006,India,6.39
2005,India,6.48
2004,India,6.33
2003,India,6.38
2002,India,6.28
2001,India,6.21
2000,India,6.27
1995,India,5.74
1990,India,5.04
1985,India,4.76
1980,India,4.83
1975,India,4.70
1970,India,5.26
2018,Indonesia,7.39
2017,Indonesia,7.27
2016,Indonesia,7.28
2015,Indonesia,7.12
2014,Indonesia,7.08
2013,Indonesia,7.09
2012,Indonesia,6.88
2011,Indonesia,6.95
2010,Indonesia,6.97
2009,Indonesia,6.68
2008,Indonesia,6.52
2007,Indonesia,6.54
2006,Indonesia,6.47
2005,Indonesia,6.43
2004,Indonesia,6.23
2003,Indonesia,6.24
