Country Name,Year,GDP
Argentina,2005,198737000000
Argentina,2006,232557000000
Argentina,2007,287531000000
Argentina,2008,361558000000
Argentina,2009,332976000000
Argentina,2010,423627000000
Argentina,2011,530163000000
Argentina,2012,545982000000
Argentina,2013,552025000000
Argentina,2014,526320000000
Argentina,2015,594749000000
Argentina,2016,557531000000
Argentina,2017,643629000000
Argentina,2018,517627000000
Argentina,2019,445445000000
Australia,2005,693408000000
Australia,2006,746054000000
Australia,2007,853100000000
Australia,2008,1054000000000
Australia,2009,927805000000
Australia,2010,1146140000000
Australia,2011,1396650000000
Australia,2012,1546150000000
Australia,2013,1576180000000
Australia,2014,1467480000000
Australia,2015,1351690000000
Australia,2016,1208850000000
Australia,2017,1329190000000
Australia,2018,1432880000000
Australia,2019,1396570000000
Brazil,2005,891630000000
Brazil,2006,1107640000000
Brazil,2007,1397080000000
Brazil,2008,1695820000000
Brazil,2009,1667020000000
Brazil,2010,2208870000000
Brazil,2011,2616200000000
Brazil,2012,2465190000000
Brazil,2013,2472810000000
Brazil,2014,2455990000000
Brazil,2015,1802210000000
Brazil,2016,1795700000000
Brazil,2017,2062830000000
Brazil,2018,1885480000000
Brazil,2019,1839760000000
Brunei Darussalam,2005,9531402848
Brunei Darussalam,2006,11470703002
Brunei Darussalam,2007,12247694247
Brunei Darussalam,2008,14393099069
Brunei Darussalam,2009,10732366286
Brunei Darussalam,2010,13707370737
Brunei Darussalam,2011,18525319978
Brunei Darussalam,2012,19047940301
Brunei Darussalam,2013,18093829923
Brunei Darussalam,2014,17098342541
Brunei Darussalam,2015,12930394938
Brunei Darussalam,2016,11400854268
Brunei Darussalam,2017,12128104859
Brunei Darussalam,2018,13567351175
Brunei Darussalam,2019,13469422959
Canada,2005,1169360000000
Canada,2006,1315420000000
Canada,2007,1464980000000
Canada,2008,1549130000000
Canada,2009,1371150000000
Canada,2010,1613460000000
Canada,2011,1788650000000
Canada,2012,1828690000000
Canada,2013,1847210000000
Canada,2014,1803530000000
Canada,2015,1556130000000
Canada,2016,1528240000000
Canada,2017,1649880000000
Canada,2018,1716260000000
Canada,2019,1736430000000
China,2005,2285970000000
China,2006,2752130000000
China,2007,3550340000000
China,2008,4594310000000
China,2009,5101700000000
China,2010,6087160000000
China,2011,7551500000000
China,2012,8532230000000
China,2013,9570410000000
China,2014,10475700000000
China,2015,11061600000000
China,2016,11233300000000
China,2017,12310400000000
China,2018,13894800000000
China,2019,14279900000000
France,2005,2196130000000
France,2006,2318590000000
France,2007,2657210000000
France,2008,2918380000000
France,2009,2690220000000
France,2010,2642610000000
France,2011,2861410000000
France,2012,2683830000000
France,2013,2811080000000
France,2014,2852170000000
France,2015,2438210000000
France,2016,2471290000000
France,2017,2595150000000
France,2018,2787860000000
France,2019,2715520000000
Germany,2005,2845800000000
Germany,2006,2992200000000
Germany,2007,3421230000000
Germany,2008,3730030000000
Germany,2009,3397790000000
Germany,2010,3396350000000
Germany,2011,3744410000000
Germany,2012,3527340000000
Germany,2013,3732740000000
Germany,2014,3883920000000
Germany,2015,3356240000000
Germany,2016,3467500000000
Germany,2017,3682600000000
Germany,2018,3963770000000
Germany,2019,3861120000000
India,2005,820382000000
India,2006,940260000000
India,2007,1216740000000
India,2008,1198900000000
India,2009,1341890000000
India,2010,1675620000000
India,2011,1823050000000
India,2012,1827640000000
India,2013,1856720000000
India,2014,2039130000000
India,2015,2103590000000
India,2016,2294800000000
India,2017,2652750000000
India,2018,2713170000000
India,2019,2868930000000
Indonesia,2005,285869000000
Indonesia,2006,364571000000
Indonesia,2007,432217000000
Indonesia,2008,510229000000
Indonesia,2009,539580000000
Indonesia,2010,755094000000
Indonesia,2011,892969000000
Indonesia,2012,917870000000
Indonesia,2013,912524000000
Indonesia,2014,890815000000
Indonesia,2015,860854000000
Indonesia,2016,931877000000
Indonesia,2017,1015620000000
Indonesia,2018,1042240000000
Indonesia,2019,1119190000000
Italy,2005,1857520000000
Italy,2006,1947920000000
Italy,2007,2210290000000
Italy,2008,2398860000000
Italy,2009,2191240000000
Italy,2010,2134020000000
Italy,2011,2291990000000
Italy,2012,2087080000000
Italy,2013,2141320000000
Italy,2014,2159130000000
Italy,2015,1835900000000
Italy,2016,1875800000000
Italy,2017,1961800000000
Italy,2018,2091540000000
Italy,2019,2003580000000
Japan,2005,4755410000000
Japan,2006,4530380000000
Japan,2007,4515260000000
Japan,2008,5037910000000
Japan,2009,5231380000000
Japan,2010,5700100000000
Japan,2011,6157460000000
Japan,2012,6203210000000
Japan,2013,5155720000000
Japan,2014,4850410000000
Japan,2015,4389480000000
Japan,2016,4922540000000
Japan,2017,4866860000000
Japan,2018,4954810000000
Japan,2019,5081770000000
Malaysia,2005,143534000000
Malaysia,2006,162691000000
Malaysia,2007,193548000000
Malaysia,2008,230814000000
Malaysia,2009,202258000000
Malaysia,2010,255017000000
Malaysia,2011,297952000000
Malaysia,2012,314443000000
Malaysia,2013,323277000000
Malaysia,2014,338062000000
Malaysia,2015,301355000000
Malaysia,2016,301255000000
Malaysia,2017,319112000000
Malaysia,2018,358715000000
Malaysia,2019,364681000000
Mexico,2005,877476000000
Mexico,2006,975387000000
Mexico,2007,1052700000000
Mexico,2008,1109990000000
Mexico,2009,900045000000
Mexico,2010,1057800000000
Mexico,2011,1180490000000
Mexico,2012,1201090000000
Mexico,2013,1274440000000
Mexico,2014,1315350000000
Mexico,2015,1171870000000
Mexico,2016,1078490000000
Mexico,2017,1158910000000
Mexico,2018,1222350000000
Mexico,2019,1268870000000
Philippines,2005,107420000000
Philippines,2006,127653000000
Philippines,2007,155980000000
Philippines,2008,181007000000
Philippines,2009,176132000000
Philippines,2010,208369000000
Philippines,2011,234217000000
Philippines,2012,261921000000
Philippines,2013,283903000000
Philippines,2014,297484000000
Philippines,2015,306446000000
Philippines,2016,318627000000
Philippines,2017,328481000000
Philippines,2018,346842000000
Philippines,2019,376796000000
Russia,2005,764017000000
Russia,2006,989931000000
Russia,2007,1299710000000
Russia,2008,1660850000000
Russia,2009,1222640000000
Russia,2010,1524920000000
Russia,2011,2045930000000
Russia,2012,2208300000000
Russia,2013,2292470000000
Russia,2014,2059240000000
Russia,2015,1363480000000
Russia,2016,1276790000000
Russia,2017,1574200000000
Russia,2018,1669580000000
Russia,2019,1699880000000
Saudi Arabia,2005,328460000000
Saudi Arabia,2006,376900000000
Saudi Arabia,2007,415965000000
Saudi Arabia,2008,519797000000
Saudi Arabia,2009,429098000000
Saudi Arabia,2010,528207000000
Saudi Arabia,2011,671239000000
Saudi Arabia,2012,735975000000
Saudi Arabia,2013,746647000000
Saudi Arabia,2014,756350000000
Saudi Arabia,2015,654270000000
Saudi Arabia,2016,644936000000
Saudi Arabia,2017,688586000000
Saudi Arabia,2018,786522000000
Saudi Arabia,2019,792967000000
Singapore,2005,127808000000
Singapore,2006,148630000000
Singapore,2007,180942000000
Singapore,2008,193612000000
Singapore,2009,194152000000
Singapore,2010,239809000000
Singapore,2011,279351000000
Singapore,2012,295087000000
Singapore,2013,307576000000
Singapore,2014,314851000000
Singapore,2015,308004000000
Singapore,2016,318652000000
Singapore,2017,341863000000
Singapore,2018,373217000000
Singapore,2019,372063000000
South Africa,2005,257773000000
South Africa,2006,271638000000
South Africa,2007,299416000000
South Africa,2008,286770000000
South Africa,2009,295936000000
South Africa,2010,375349000000
South Africa,2011,416419000000
South Africa,2012,396333000000
South Africa,2013,366829000000
South Africa,2014,350905000000
South Africa,2015,317621000000
South Africa,2016,296357000000
South Africa,2017,349554000000
South Africa,2018,368289000000
South Africa,2019,351432000000
South Korea,2005,934901000000
South Korea,2006,1053220000000
South Korea,2007,1172610000000
South Korea,2008,1047340000000
South Korea,2009,943942000000
South Korea,2010,1144070000000
South Korea,2011,1253220000000
South Korea,2012,1278430000000
South Korea,2013,1370800000000
South Korea,2014,1484320000000
South Korea,2015,1465770000000
South Korea,2016,1500110000000
South Korea,2017,1623900000000
South Korea,2018,1724850000000
South Korea,2019,1646740000000
Thailand,2005,189319000000
Thailand,2006,221758000000
Thailand,2007,262942000000
Thailand,2008,291383000000
Thailand,2009,281710000000
Thailand,2010,341105000000
Thailand,2011,370819000000
Thailand,2012,397558000000
Thailand,2013,420333000000
Thailand,2014,407339000000
Thailand,2015,401296000000
Thailand,2016,413430000000
Thailand,2017,456295000000
Thailand,2018,506514000000
Thailand,2019,543549000000
Turkey,2005,506315000000
Turkey,2006,557076000000
Turkey,2007,681321000000
Turkey,2008,770449000000
Turkey,2009,649289000000
Turkey,2010,776968000000
Turkey,2011,838786000000
Turkey,2012,880556000000
Turkey,2013,957799000000
Turkey,2014,938934000000
Turkey,2015,864314000000
Turkey,2016,869683000000
Turkey,2017,858989000000
Turkey,2018,778382000000
Turkey,2019,761425000000
United Kingdom,2005,2538680000000
United Kingdom,2006,2713750000000
United Kingdom,2007,3100880000000
United Kingdom,2008,2922670000000
United Kingdom,2009,2410910000000
United Kingdom,2010,2475240000000
United Kingdom,2011,2659310000000
United Kingdom,2012,2704890000000
United Kingdom,2013,2786020000000
United Kingdom,2014,3063800000000
United Kingdom,2015,2928590000000
United Kingdom,2016,2694280000000
United Kingdom,2017,2666230000000
United Kingdom,2018,2860670000000
United Kingdom,2019,2829110000000
United States,2005,13036600000000
United States,2006,13814600000000
United States,2007,14451900000000
United States,2008,14712800000000
United States,2009,14448900000000
United States,2010,14992100000000
United States,2011,15542600000000
United States,2012,16197000000000
United States,2013,16784800000000
United States,2014,17527200000000
United States,2015,18224700000000
United States,2016,18715000000000
United States,2017,19519400000000
United States,2018,20580200000000
United States,2019,21433200000000
Vietnam,2005,57633255618
Vietnam,2006,66371664817
Vietnam,2007,77414425532
Vietnam,2008,99130304099
Vietnam,2009,106015000000
Vietnam,2010,115932000000
Vietnam,2011,135539000000
Vietnam,2012,155820000000
Vietnam,2013,171222000000
Vietnam,2014,186205000000
Vietnam,2015,193241000000
Vietnam,2016,205276000000
Vietnam,2017,223780000000
Vietnam,2018,245214000000
Vietnam,2019,261921000000
Russia,2005,764017000000
Russia,2006,989931000000
Russia,2007,1299710000000
Russia,2008,1660850000000
Russia,2009,1222640000000
Russia,2010,1524920000000
Russia,2011,2045930000000
Russia,2012,2208300000000
Russia,2013,2292470000000
Russia,2014,2059240000000
Russia,2015,1363480000000
Russia,2016,1276790000000
Russia,2017,1574200000000
Russia,2018,1669580000000
Russia,2019,1699880000000
